name,price,address,city,category_code,city_code,business,scan_date
"Rollei 35 T body, not working, for parts",95.0,https://toronto.craigslist.ca/tor/phd/d/rollei-35-body-not-working/6762084451.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Samsung NX100 camera with 20-50mm f/3.5-5.6 lens unused brand new in box,295.0,https://toronto.craigslist.ca/tor/phd/d/samsung-nx100-camera-with-20/6764018881.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Samsung NX100 camera with 20-50mm f/3.5-5.6 lens unused brand ne,295.0,https://toronto.craigslist.ca/tor/phd/d/samsung-nx100-camera-with-20/6764554692.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-TS20 16.1mp brand new in box never open or used,80.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-ts20/6764022048.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FH4 14.1mp brand new in box,60.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fh4-141mp/6764028479.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-TS20 16.1mp brand new in box never open or u,80.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-ts20/6764552542.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FH4 14.1mp brand new in box,60.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fh4-141mp/6764556538.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-ZS1 10.1mp Camera 12x Zoom Leica DC lens NIB,70.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-zs1-101mp/6764041863.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FZ35 12MP digital camera 18x optical zoom new in box,125.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fz35-12mp/6764068593.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya RZ67 Pro Medium Format Camera Body with 120 back waist le,375.0,https://toronto.craigslist.ca/tor/phd/d/mamiya-rz67-pro-medium-format/6764506993.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya RZ67 Pro II AE Prism Finder for all Mamiya RZ67 ex++ full,395.0,https://toronto.craigslist.ca/tor/phd/d/mamiya-rz67-pro-ii-ae-prism/6764509419.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-TS20 16.1mp brand new in box never open or used,80.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-ts20/6764022048.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FH4 14.1mp brand new in box,60.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fh4-141mp/6764028479.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-TS20 16.1mp brand new in box never open or u,80.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-ts20/6764552542.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FH4 14.1mp brand new in box,60.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fh4-141mp/6764556538.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-ZS1 10.1mp Camera 12x Zoom Leica DC lens NIB,70.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-zs1-101mp/6764041863.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Panasonic Lumix DMC-FZ35 12MP digital camera 18x optical zoom new in box,125.0,https://toronto.craigslist.ca/tor/phd/d/panasonic-lumix-dmc-fz35-12mp/6764068593.html,Toronto,phd,tor,1,2018-12-09 13:11:55
